PortOfEntryDistrict,CountryOfOrigin,ProductCode,DateDiff,Status,Product,SubIndustry,UseCase,ProductState,Source,SeafoodCategory,OriginCity,OriginContinent,SecondaryProcessingOriginCity,ProductType,VesselCheck,StorageCondition,IsSafe
Division of Northeast Imports,India,16XGT21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of West Coast Imports,India,16XGD21,0,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Southeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of West Coast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of West Coast Imports,India,16XGD21,0,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Southeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of West Coast Imports,India,16XGD21,2,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of West Coast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of West Coast Imports,India,16XGT21,0,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of West Coast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,1,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Frozen,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,India,16XGD21,2,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,3,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,India,16XGD21,2,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,2,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,India,16XGT21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of West Coast Imports,India,16XGT21,1,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of West Coast Imports,India,16XGD21,2,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGD21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Acidified,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of West Coast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGD21,3,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,4,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Low Acid,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGT21,2,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGT21,3,Released,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of Northeast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Frozen,YES,Refrigerated,No
Division of West Coast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,India,16XGD21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,India,16XGT21,0,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kakinada,Asia,Mumbai,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Bangladesh,16AGT99,0,Passed,FISH,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kishoreganj,Asia,Kishoreganj,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Bangladesh,16AGT99,0,Declined,FISH,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kishoreganj,Asia,Kishoreganj,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Bangladesh,16AGT99,0,Passed,FISH,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),Aquaculture,Other Fish,Kishoreganj,Asia,Kishoreganj,Frozen,YES,Frozen,No
Division of Northeast Imports,Bangladesh,16AGT99,0,Declined,FISH,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Kishoreganj,Asia,Kishoreganj,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Bangladesh,16AGT99,-1,Passed,FISH,Fish,"Plastic, Synth",Packaged Food (Not Commercially Sterile),WildCatch,Other Fish,Kishoreganj,Asia,Kishoreganj,Processed,YES,Acidified,No
Division of Northeast Imports,Bangladesh,16AGD62,-1,Passed,SNAKE HEAD,Fish,"Plastic, Synth","Raw, Fresh, Frozen, Natural State",WildCatch,Other Fish,Kishoreganj,Asia,Kishoreganj,Processed,YES,Acidified,No
Division of West Coast Imports,Thailand,16YGN99,0,Passed,N.E.C,"Fishery Prod,n.e.c.","Plastic, Synth",Heat Treated,WildCatch,Other Fish,Yannawa,Asia,Yannawa,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,Thailand,16AYY64,-1,Passed,MUD FISH,Fish,NEC,NEC,WildCatch,Other Fish,Yannawa,Asia,Yannawa,Processed,YES,Contract Sterilizer,No
Division of Southeast Imports,Thailand,16XGN21,5,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Heat Treated,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Amphur Muang,Frozen,YES,Frozen,No
Division of Southeast Imports,Thailand,16XGN21,0,Passed,SHRIMP,Aquaculture Harvested Fishery/Seafood Products,"Plastic, Synth",Heat Treated,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Amphur Muang,Processed,YES,Acidified,No
Division of West Coast Imports,Thailand,16AEE33,1,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE33,4,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Refrigerated,No
Division of Southeast Imports,Thailand,16SEE33,3,Passed,SARDINES,"Fish, Cold Smoked (protein is not coagulated)",Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Refrigerated,No
Division of Northeast Imports,Thailand,16AEE33,2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16SEE73,1,Passed,MACKEREL,"Fish, Cold Smoked (protein is not coagulated)",Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AEE33,5,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE33,3,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of Northeast Imports,Thailand,16AEE33,5,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE33,5,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE33,-2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,Aquaculture,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Frozen,YES,Frozen,No
Division of West Coast Imports,Thailand,16AEE33,2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,Thailand,16AEE33,2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Contract Sterilizer,No
Division of West Coast Imports,Thailand,16AEE33,3,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Contract Sterilizer,No
Division of Northeast Imports,Thailand,16AEE33,5,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Acidified,No
Division of Northeast Imports,Thailand,16AEE33,4,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Acidified,No
Division of West Coast Imports,Thailand,16AEE33,2,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Low Acid,No
Division of Northeast Imports,Thailand,16AEE33,4,Passed,SARDINES,Fish,Commercially Sterile,Commercially Sterile,WildCatch,Other Fish,Muang Samut Sakhon,Asia,Muang Samut Sakhon,Processed,YES,Low Acid,No
